seed,L_min,beta,lambda_alarm,kappa_iid,best_obj,changepoints,objective_gap
7,104,0.1,0.0,0.75,90615.1631288781,"[1690, 1950]",12.494310843758285
7,104,0.1,0.0,1.5,90616.6631288781,"[1690, 1950]",12.494310843758285
7,104,0.1,0.25,0.0,90613.6631288781,"[1690, 1950]",12.494310843758285
7,104,0.1,0.25,0.25,90614.1631288781,"[1690, 1950]",12.494310843758285
7,104,0.1,0.25,0.75,90615.1631288781,"[1690, 1950]",12.494310843758285
7,104,0.1,0.25,1.5,90616.6631288781,"[1690, 1950]",12.494310843758285
7,104,0.1,0.5,0.0,90613.6631288781,"[1690, 1950]",12.494310843758285
7,104,0.1,0.5,0.25,90614.1631288781,"[1690, 1950]",12.494310843758285
7,104,0.1,0.5,0.75,90615.1631288781,"[1690, 1950]",12.494310843758285
7,104,0.1,0.5,1.5,90616.6631288781,"[1690, 1950]",12.494310843758285
7,104,0.1,1.0,0.0,90613.6631288781,"[1690, 1950]",12.494310843758285
7,104,0.1,1.0,0.25,90614.1631288781,"[1690, 1950]",12.494310843758285
7,104,0.1,1.0,0.75,90615.1631288781,"[1690, 1950]",12.494310843758285
7,104,0.1,1.0,1.5,90616.6631288781,"[1690, 1950]",12.494310843758285
7,104,0.3,0.0,0.0,90614.06312887812,"[1690, 1950]",12.494310843758285
7,104,0.3,0.0,0.25,90614.56312887812,"[1690, 1950]",12.494310843758285
7,104,0.3,0.0,0.75,90615.56312887812,"[1690, 1950]",12.494310843758285
7,104,0.3,0.0,1.5,90617.06312887812,"[1690, 1950]",12.494310843758285
7,104,0.3,0.25,0.0,90614.06312887812,"[1690, 1950]",12.494310843758285
7,104,0.3,0.25,0.25,90614.56312887812,"[1690, 1950]",12.494310843758285
7,104,0.3,0.25,0.75,90615.56312887812,"[1690, 1950]",12.494310843758285
7,104,0.3,0.25,1.5,90617.06312887812,"[1690, 1950]",12.494310843758285
7,104,0.3,0.5,0.0,90614.06312887812,"[1690, 1950]",12.494310843758285
7,104,0.3,0.5,0.25,90614.56312887812,"[1690, 1950]",12.494310843758285
7,104,0.3,0.5,0.75,90615.56312887812,"[1690, 1950]",12.494310843758285
7,104,0.3,0.5,1.5,90617.06312887812,"[1690, 1950]",12.494310843758285
7,104,0.3,1.0,0.0,90614.06312887812,"[1690, 1950]",12.494310843758285
7,104,0.3,1.0,0.25,90614.56312887812,"[1690, 1950]",12.494310843758285
7,104,0.3,1.0,0.75,90615.56312887812,"[1690, 1950]",12.494310843758285
7,104,0.3,1.0,1.5,90617.06312887812,"[1690, 1950]",12.494310843758285
7,104,0.6,0.0,0.0,90614.6631288781,"[1690, 1950]",12.494310843758285
7,104,0.6,0.0,0.25,90615.1631288781,"[1690, 1950]",12.494310843758285
7,104,0.6,0.0,0.75,90616.1631288781,"[1690, 1950]",12.494310843758285
7,104,0.6,0.0,1.5,90617.6631288781,"[1690, 1950]",12.494310843758285
7,104,0.6,0.25,0.0,90614.6631288781,"[1690, 1950]",12.494310843758285
