seed,L_min,beta,lambda_alarm,best_obj,changepoints,objective_gap
17,156,2.0,1.0,90583.87713369793,"[1144, 2236]",2.1330058890307555
17,156,2.0,2.0,90583.87713369793,"[1144, 2236]",2.1330058890307555
17,156,4.0,0.0,90587.87713369793,"[1144, 2236]",2.1330058890307555
17,156,4.0,0.5,90587.87713369793,"[1144, 2236]",2.1330058890307555
17,156,4.0,1.0,90587.87713369793,"[1144, 2236]",2.1330058890307555
17,156,4.0,2.0,90587.87713369793,"[1144, 2236]",2.1330058890307555
29,26,0.5,0.0,90588.9405562086,"[2132, 2158]",0.4868456022522878
29,26,0.5,0.5,90589.42740181086,"[2392, 2418]",0.01315439774771221
29,26,0.5,1.0,90589.42740181086,"[2392, 2418]",0.5131543977477122
29,26,0.5,2.0,90589.42740181086,"[2392, 2418]",1.5131543977477122
29,26,1.0,0.0,90589.9405562086,"[2132, 2158]",0.4868456022522878
29,26,1.0,0.5,90590.42740181086,"[2392, 2418]",0.01315439774771221
29,26,1.0,1.0,90590.42740181086,"[2392, 2418]",0.5131543977477122
29,26,1.0,2.0,90590.42740181086,"[2392, 2418]",1.5131543977477122
29,26,2.0,0.0,90591.9405562086,"[2132, 2158]",0.4868456022522878
29,26,2.0,0.5,90592.42740181086,"[2392, 2418]",0.01315439774771221
29,26,2.0,1.0,90592.42740181086,"[2392, 2418]",0.5131543977477122
29,26,2.0,2.0,90592.42740181086,"[2392, 2418]",1.5131543977477122
29,26,4.0,0.0,90595.9405562086,"[2132, 2158]",0.4868456022522878
29,26,4.0,0.5,90596.42740181086,"[2392, 2418]",0.01315439774771221
29,26,4.0,1.0,90596.42740181086,"[2392, 2418]",0.5131543977477122
29,26,4.0,2.0,90596.42740181086,"[2392, 2418]",1.5131543977477122
29,52,0.5,0.0,90596.39028431277,"[1144, 2236]",2.816591753537068
29,52,0.5,0.5,90596.39028431277,"[1144, 2236]",2.816591753537068
29,52,0.5,1.0,90596.39028431277,"[1144, 2236]",2.816591753537068
29,52,0.5,2.0,90596.39028431277,"[1144, 2236]",2.816591753537068
29,52,1.0,0.0,90597.39028431277,"[1144, 2236]",2.816591753537068
